pincode,latitude,longitude
793121,25.4419064,91.6690494
560043,13.0223768,77.6439649
208001,26.4695434,80.3260767
202133,27.9989325,78.502793
560016,13.01969,77.6773774
843331,26.6509555,85.7055983
843330,26.8251943,85.5624459
271865,27.8834024,81.4532635
283204,27.223501,78.2953886
845418,26.6652605,85.1939315
273164,27.4009528,83.4410868
843317,26.8472617,85.580497
431001,19.8602667,75.3223645
843324,26.2231461,85.7110713
201102,28.7556416,77.3251518
121004,28.343289,77.3254256
560068,12.8986856,77.6365787
847108,26.3257282,86.508616
560032,13.0262912,77.5997924
332001,27.615501,75.1620919
812005,25.1953487,86.9800914
143001,31.6372447,74.8770834
122001,28.4681096,77.0376891
201301,28.5475656,77.3871459
110018,28.6375991,77.0830226
477116,26.4247983,78.4418565
475110,25.8875614,78.3328908
483501,23.8308319,80.4075117
110059,28.6187159,77.0530695
845304,26.749,85.13754
736135,26.1205842,89.4632807
226003,26.8635189,80.8984844
733129,25.6414436,88.3277752
782104,26.3070013,92.3635211
783350,26.566333,90.061739
282005,27.2129148,78.0092787
247667,29.8699208,77.888009
201001,28.6608689,77.4240559
201206,28.7288068,77.5074582
782124,26.4409333,92.6281166
431401,19.2611136,76.7758146
782105,26.2463727,92.3298214
793119,25.5536526,91.2017316
845303,26.1035913,84.8771491
782127,26.4203048,92.3323093
201009,28.6436133,77.4331214
783360,26.491924,90.1846823
110086,28.7036078,77.0629407
282001,27.1496485,78.0568407
793150,25.4530297,92.2816056
282010,27.1817504,77.9841236
201002,28.6691915,77.4555694
847421,26.5280962,86.4728045
209801,26.5727248,80.4668938
247001,29.9504823,77.5426947
786602,27.3599945,95.3227294
784509,26.7566889,92.0992906
783390,26.4623325,90.9097259
781354,26.4512041,91.619269
783331,26.0966181,89.9451915
222001,25.7715764,82.7092514
421503,19.1643179,73.2391604
560037,12.9623272,77.6972859
787057,27.3933496,94.3338698
283125,27.1079419,78.2054925
385545,24.495743,72.3021754
283203,27.1574692,78.4026237
474001,26.2007414,78.1579423
783348,26.2649018,90.2203585
786156,27.6974128,95.5728203
524311,14.5964055,79.7561045
560035,12.8979301,77.7009299
209821,26.5249828,80.754934
783101,26.1652341,90.6093559
560036,13.0161532,77.6981648
783334,26.1543378,89.8454274
385310,24.5051195,72.0304819
784110,26.7086834,92.476996
781366,26.5198367,91.7046838
786152,27.6478484,95.6965613
786151,27.5709265,95.555473
271855,28.1151295,81.2800268
